Student,LPIPS,SSIM
113590001.png,0.0,1.0
113370239.png,0.2512730658054352,0.6782222385462977
113590021.png,0.25340110063552856,0.6412265176736317
113590051.png,0.25729799270629883,0.6653636617542641
111590047.png,0.26191049814224243,0.6792928755256304
113590015.png,0.27707284688949585,0.6490865887165526
113590045.png,0.28251349925994873,0.641136207519504
112590455.png,0.28619256615638733,0.6394044121481075
113590044.png,0.28623130917549133,0.6272855720116084
113590022.png,0.2915661036968231,0.6220824193087834
112590454.png,0.29989388585090637,0.6043789131584133
113590026.png,0.30356764793395996,0.6785844090142275
113590052.png,0.31419438123703003,0.6045112908828916
111590028.png,0.31968075037002563,0.6622317722327833
110590455.png,0.3237804174423218,0.6503020586639875
113590003.png,0.32975807785987854,0.6333389378585886
112590040.png,0.33028656244277954,0.5970378462461229
113590047.png,0.3386094272136688,0.6959196855893978
114054809.png,0.3392355442047119,0.6323842995659491
113590028.png,0.34722208976745605,0.5870845960920353
113590004.png,0.35036101937294006,0.7035834408796289
113AC1012.png,0.36187997460365295,0.6128874715513358
113590018.png,0.3662117123603821,0.5686387237221074
113590062.png,0.37186118960380554,0.5575866777753062
113590057.png,0.37380722165107727,0.5836284389250909
113590043.png,0.3831058144569397,0.7049070927056235
113590023.png,0.38730135560035706,0.5467486682646944
113590011.png,0.387704461812973,0.564351797993484
113590025.png,0.38885289430618286,0.7059797552069529
113590042.png,0.3920910656452179,0.5497098609321392
113590002.png,0.39486417174339294,0.5646599793198971
113590006.png,0.3988107144832611,0.5435082355823209
113590010.png,0.4015201926231384,0.5726572706082902
113590049.png,0.40797439217567444,0.4922425219779413
111590042.png,0.41822901368141174,0.7077202250159138
111590455.png,0.4891103506088257,0.5161313981366543
113590008.png,0.4960191249847412,0.4741254897497382
